,product_id,path,type,position,created_at_x,updated_at_x,upc,name,slug,description,is_promotion,is_visible,created_at_y,updated_at_y,drophub,attributes
703,159,http://cdn.mouherwear1.comhttp://cdn.mouherwear1.com/01K6NK56QVR6M09R5A5S1XMGG7.webp,image,1,2025-10-03 21:20:45,2025-10-03 21:20:45,,Limited overcoat F(nescafe),68e00c08169b2,"جنس:فوتر
رنگ:نسکافه ای
فری سایز(عرض سینه60/عرض شانه46/قد115)

قد مدل173 و سایز 38",0,1,2025-10-03 21:16:48,2025-10-11 14:00:45,,
704,160,http://cdn.mouherwear1.comhttp://cdn.mouherwear1.com/01K6NKT56A5JQHQTXA58QZG77V.webp,thumbnail,1,2025-10-03 21:32:13,2025-10-03 21:32:13,,Cotton shirt M(black),68e00ee21fef7,"جنس:کتان
رنگ:مشکی
فری سایز(عرض سینه64/قد77)
مناسب سایز های(m ،l,xl,2xl)

قد مدل188

",0,1,2025-10-03 21:28:58,2025-10-03 22:12:17,,
705,160,http://cdn.mouherwear1.comhttp://cdn.mouherwear1.com/01K6NKTZG5S7VPF6H6N56F7MDW.webp,image,1,2025-10-03 21:32:38,2025-10-03 21:32:38,,Cotton shirt M(black),68e00ee21fef7,"جنس:کتان
رنگ:مشکی
فری سایز(عرض سینه64/قد77)
مناسب سایز های(m ،l,xl,2xl)

قد مدل188

",0,1,2025-10-03 21:28:58,2025-10-03 22:12:17,,
706,160,http://cdn.mouherwear1.comhttp://cdn.mouherwear1.com/01K6NKVEAQZXCCGH8CDJ2MR444.webp,image,1,2025-10-03 21:32:54,2025-10-03 21:32:54,,Cotton shirt M(black),68e00ee21fef7,"جنس:کتان
رنگ:مشکی
فری سایز(عرض سینه64/قد77)
مناسب سایز های(m ،l,xl,2xl)

قد مدل188

",0,1,2025-10-03 21:28:58,2025-10-03 22:12:17,,
707,160,http://cdn.mouherwear1.comhttp://cdn.mouherwear1.com/01K6NKW07XSEVAE6EZDZE8AG6Q.webp,image,1,2025-10-03 21:33:12,2025-10-03 21:33:12,,Cotton shirt M(black),68e00ee21fef7,"جنس:کتان
رنگ:مشکی
فری سایز(عرض سینه64/قد77)
مناسب سایز های(m ،l,xl,2xl)

قد مدل188

",0,1,2025-10-03 21:28:58,2025-10-03 22:12:17,,
708,161,http://cdn.mouherwear1.comhttp://cdn.mouherwear1.com/01K6NM1Y20TZKYVYKJPXPAC2GT.webp,thumbnail,1,2025-10-03 21:36:28,2025-10-03 21:36:28,,Cotton shirt M(brown),68e0105744480,"جنس:کتان
رنگ:قهوه ای
فری سایز(عرض سینه64/قد77)
مناسب سایز های(m ،l,xl,2xl)

قد مدل188
",0,1,2025-10-03 21:35:11,2025-10-03 22:12:46,,
709,161,http://cdn.mouherwear1.comhttp://cdn.mouherwear1.com/01K6NM2D0X3W20Q5YZEKDCDD3T.webp,image,1,2025-10-03 21:36:42,2025-10-03 21:36:42,,Cotton shirt M(brown),68e0105744480,"جنس:کتان
رنگ:قهوه ای
فری سایز(عرض سینه64/قد77)
مناسب سایز های(m ،l,xl,2xl)

قد مدل188
",0,1,2025-10-03 21:35:11,2025-10-03 22:12:46,,
710,161,http://cdn.mouherwear1.comhttp://cdn.mouherwear1.com/01K6NM2VGYX5Z6PABVECD6W2G4.webp,image,1,2025-10-03 21:36:57,2025-10-03 21:36:57,,Cotton shirt M(brown),68e0105744480,"جنس:کتان
رنگ:قهوه ای
فری سایز(عرض سینه64/قد77)
مناسب سایز های(m ،l,xl,2xl)

قد مدل188
",0,1,2025-10-03 21:35:11,2025-10-03 22:12:46,,
711,161,http://cdn.mouherwear1.comhttp://cdn.mouherwear1.com/01K6NM3Q016EAD747ED4F6J2HQ.webp,image,1,2025-10-03 21:37:25,2025-10-03 21:37:25,,Cotton shirt M(brown),68e0105744480,"جنس:کتان
رنگ:قهوه ای
فری سایز(عرض سینه64/قد77)
مناسب سایز های(m ،l,xl,2xl)

قد مدل188
",0,1,2025-10-03 21:35:11,2025-10-03 22:12:46,,
712,162,http://cdn.mouherwear1.comhttp://cdn.mouherwear1.com/01K6NMA5A3RXAJT9SJWRBMHGXZ.webp,thumbnail,1,2025-10-03 21:40:58,2025-10-03 21:40:58,,Keshmir shirt M(gray),68e0110668b0f,"جنس:کشمیر
رنگ:طوسی
فری سایز(عرض سینه64/قد77)
مناسب سایز های(m ،l,xl,2xl)

قد مدل188
",0,1,2025-10-03 21:38:06,2025-10-04 23:06:49,,
713,162,http://cdn.mouherwear1.comhttp://cdn.mouherwear1.com/01K6NMAS80KA8JZXTTKK1Z73JY.webp,image,1,2025-10-03 21:41:16,2025-10-03 21:41:16,,Keshmir shirt M(gray),68e0110668b0f,"جنس:کشمیر
رنگ:طوسی
فری سایز(عرض سینه64/قد77)
مناسب سایز های(m ،l,xl,2xl)

قد مدل188
",0,1,2025-10-03 21:38:06,2025-10-04 23:06:49,,
714,162,http://cdn.mouherwear1.comhttp://cdn.mouherwear1.com/01K6RBKERHHQ4ZXJHNMG1AMP4Z.webp,image,1,2025-10-04 23:06:27,2025-10-04 23:06:27,,Keshmir shirt M(gray),68e0110668b0f,"جنس:کشمیر
رنگ:طوسی
فری سایز(عرض سینه64/قد77)
مناسب سایز های(m ،l,xl,2xl)

قد مدل188
",0,1,2025-10-03 21:38:06,2025-10-04 23:06:49,,
715,162,http://cdn.mouherwear1.comhttp://cdn.mouherwear1.com/01K6RBKVX61ZKMYS18QKE26YMR.webp,image,1,2025-10-04 23:06:40,2025-10-04 23:06:40,,Keshmir shirt M(gray),68e0110668b0f,"جنس:کشمیر
رنگ:طوسی
فری سایز(عرض سینه64/قد77)
مناسب سایز های(m ،l,xl,2xl)

قد مدل188
",0,1,2025-10-03 21:38:06,2025-10-04 23:06:49,,
716,163,http://cdn.mouherwear1.comhttp://cdn.mouherwear1.com/01K6RBPM4K9JRYED63FSH678VZ.webp,thumbnail,1,2025-10-04 23:08:12,2025-10-04 23:08:12,,Keshmir shirt M((navy),68e011d00efe3,"جنس:کشمیر
رنگ:سرمه ای
فری سایز(عرض سینه64/قد77)
مناسب سایز های(m ،l,xl,2xl)

قد مدل188
",0,1,2025-10-03 21:41:28,2025-10-04 23:09:10,,
717,163,http://cdn.mouherwear1.comhttp://cdn.mouherwear1.com/01K6RBQ4K76TGR9Y21MZY9FJRD.webp,image,1,2025-10-04 23:08:27,2025-10-04 23:08:27,,Keshmir shirt M((navy),68e011d00efe3,"جنس:کشمیر
رنگ:سرمه ای
فری سایز(عرض سینه64/قد77)
مناسب سایز های(m ،l,xl,2xl)

قد مدل188
",0,1,2025-10-03 21:41:28,2025-10-04 23:09:10,,
718,163,http://cdn.mouherwear1.comhttp://cdn.mouherwear1.com/01K6RBQK0Q919P12HGPK1PMAWT.webp,image,1,2025-10-04 23:08:42,2025-10-04 23:08:42,,Keshmir shirt M((navy),68e011d00efe3,"جنس:کشمیر
رنگ:سرمه ای
فری سایز(عرض سینه64/قد77)
مناسب سایز های(m ،l,xl,2xl)

قد مدل188
",0,1,2025-10-03 21:41:28,2025-10-04 23:09:10,,
719,163,http://cdn.mouherwear1.comhttp://cdn.mouherwear1.com/01K6RBRAEZ5QTQZW9C0R8Q4XP0.webp,image,1,2025-10-04 23:09:06,2025-10-04 23:09:06,,Keshmir shirt M((navy),68e011d00efe3,"جنس:کشمیر
رنگ:سرمه ای
فری سایز(عرض سینه64/قد77)
مناسب سایز های(m ،l,xl,2xl)

قد مدل188
",0,1,2025-10-03 21:41:28,2025-10-04 23:09:10,,
720,164,http://cdn.mouherwear1.comhttp://cdn.mouherwear1.com/01K6NMHYXG6T0250V6FJT7HHM9.webp,thumbnail,1,2025-10-03 21:45:12,2025-10-03 21:45:12,,Leather jacket M(brown),68e0123fed3e2,"جنس:چرم مصنوعی
رنگ:قهوه ای
فری سایز(عرض سینه64/قد73)
مناسب سایز های(m ،l,xl,2xl)

قد مدل188
",0,1,2025-10-03 21:43:19,2025-10-03 22:15:34,,
721,164,http://cdn.mouherwear1.comhttp://cdn.mouherwear1.com/01K6NMJBESBJ8ZX7ZRVRCX3G6H.webp,image,1,2025-10-03 21:45:24,2025-10-03 21:45:24,,Leather jacket M(brown),68e0123fed3e2,"جنس:چرم مصنوعی
رنگ:قهوه ای
فری سایز(عرض سینه64/قد73)
مناسب سایز های(m ،l,xl,2xl)

قد مدل188
",0,1,2025-10-03 21:43:19,2025-10-03 22:15:34,,
722,164,http://cdn.mouherwear1.comhttp://cdn.mouherwear1.com/01K6NMJP1YZFAT4Q3B2JTRMYQA.webp,image,1,2025-10-03 21:45:35,2025-10-03 21:45:35,,Leather jacket M(brown),68e0123fed3e2,"جنس:چرم مصنوعی
رنگ:قهوه ای
فری سایز(عرض سینه64/قد73)
مناسب سایز های(m ،l,xl,2xl)

قد مدل188
",0,1,2025-10-03 21:43:19,2025-10-03 22:15:34,,
723,165,http://cdn.mouherwear1.comhttp://cdn.mouherwear1.com/01K6RBGPW0DMRHWK0AGTGW89TF.webp,thumbnail,1,2025-10-04 23:04:58,2025-10-04 23:04:58,,Leather jacket M(black),68e012f682232,"جنس:چرم مصنوعی
رنگ:مشکی
فری سایز(عرض سینه64/قد73)
مناسب سایز های(m ،l,xl,2xl)

قد مدل188
",0,1,2025-10-03 21:46:22,2025-10-04 23:05:27,,
724,165,http://cdn.mouherwear1.comhttp://cdn.mouherwear1.com/01K6RBH3REEEJ4G3CZY62YK23V.webp,image,1,2025-10-04 23:05:10,2025-10-04 23:05:10,,Leather jacket M(black),68e012f682232,"جنس:چرم مصنوعی
رنگ:مشکی
فری سایز(عرض سینه64/قد73)
مناسب سایز های(m ،l,xl,2xl)

قد مدل188
",0,1,2025-10-03 21:46:22,2025-10-04 23:05:27,,
725,165,http://cdn.mouherwear1.comhttp://cdn.mouherwear1.com/01K6RBHG8C92BSFX07YR3BQDWV.webp,image,1,2025-10-04 23:05:23,2025-10-04 23:05:23,,Leather jacket M(black),68e012f682232,"جنس:چرم مصنوعی
رنگ:مشکی
فری سایز(عرض سینه64/قد73)
مناسب سایز های(m ،l,xl,2xl)

قد مدل188
",0,1,2025-10-03 21:46:22,2025-10-04 23:05:27,,
726,166,http://cdn.mouherwear1.comhttp://cdn.mouherwear1.com/01K6NMX45HS3BFR5E47RV9YJDP.webp,thumbnail,1,2025-10-03 21:51:17,2025-10-03 21:51:17,,Trench coat M(begie),68e0136d41e0d,"جنس:کتان tc (ضد آب)
رنگ:بژ
فری سایز(عرض سینه64/قد120)
مناسب سایز های(m ،l,xl,2xl)

قد مدل188
",0,1,2025-10-03 21:48:21,2025-10-03 22:14:23,,
